
SET IDENTITY_INSERT [dbo].[Building] ON 

INSERT [dbo].[Building] ([BuildingID], [BuildingName], [BuildingDescription], [BuildingPicture], [BuildingCode]) VALUES (1, N'An Lạc', N'Nằm giữa một khu vườn yên tĩnh với những hàng cây xanh mát, An Lạc mang đến một không gian thanh bình và ấm cúng. Thiết kế kiến trúc hiện đại với những đường nét đơn giản, kết hợp hài hòa với thiên nhiên xung quanh.', N'https://i.ibb.co/JrqjRCn/Screenshot-2024-06-19-134117.png', 'AL')
INSERT [dbo].[Building] ([BuildingID], [BuildingName], [BuildingDescription], [BuildingPicture],[BuildingCode]) VALUES (2, N'An Viên', N'An Viên mang đậm nét kiến trúc truyền thống với những mái ngói cong và những chi tiết chạm khắc tinh xảo. Không gian bên trong được bài trí trang trọng và ấm cúng, gợi nhớ về những giá trị văn hóa sâu sắc.', N'https://i.ibb.co/JrqjRCn/Screenshot-2024-06-19-134117.png', 'AV')
SET IDENTITY_INSERT [dbo].[Building] OFF


INSERT INTO [dbo].[Floor] (BuildingID, FloorName, FloorDescription, FloorCode)
VALUES 
-- An Lạc Building (ID 1)
(1, N'Tầng 1', N'Mô tả tầng 1' , N'AL-F1'),
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (4760, 48, N'320', N'Available', NULL, NULL, NULL, N'AL-F6-A8-320')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (4761, 48, N'401', N'Available', NULL, NULL, NULL, N'AL-F6-A8-401')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (4762, 48, N'402', N'Available', NULL, NULL, NULL, N'AL-F6-A8-402')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (4763, 48, N'403', N'Available', NULL, NULL, NULL, N'AL-F6-A8-403')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (4764, 48, N'404', N'Available', NULL, NULL, NULL, N'AL-F6-A8-404')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (4765, 48, N'405', N'Available', NULL, NULL, NULL, N'AL-F6-A8-405')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (4766, 48, N'406', N'Available', NULL, NULL, NULL, N'AL-F6-A8-406')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (4767, 48, N'407', N'Available', NULL, NULL, NULL, N'AL-F6-A8-407')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (4768, 48, N'408', N'Available', NULL, NULL, NULL, N'AL-F6-A8-408')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (4769, 48, N'409', N'Available', NULL, NULL, NULL, N'AL-F6-A8-409')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (4770, 48, N'410', N'Available', NULL, NULL, NULL, N'AL-F6-A8-410')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (4771, 48, N'411', N'Available', NULL, NULL, NULL, N'AL-F6-A8-411')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (4772, 48, N'412', N'Available', NULL, NULL, NULL, N'AL-F6-A8-412')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (4773, 48, N'413', N'Available', NULL, NULL, NULL, N'AL-F6-A8-413')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (4774, 48, N'414', N'Available', NULL, NULL, NULL, N'AL-F6-A8-414')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (4775, 48, N'415', N'Available', NULL, NULL, NULL, N'AL-F6-A8-415')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (4776, 48, N'416', N'Available', NULL, NULL, NULL, N'AL-F6-A8-416')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (4777, 48, N'417', N'Available', NULL, NULL, NULL, N'AL-F6-A8-417')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (4778, 48, N'418', N'Available', NULL, NULL, NULL, N'AL-F6-A8-418')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (4779, 48, N'419', N'Available', NULL, NULL, NULL, N'AL-F6-A8-419')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (4780, 48, N'420', N'Available', NULL, NULL, NULL, N'AL-F6-A8-420')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (4781, 48, N'501', N'Available', NULL, NULL, NULL, N'AL-F6-A8-501')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (4782, 48, N'502', N'Available', NULL, NULL, NULL, N'AL-F6-A8-502')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (4783, 48, N'503', N'Available', NULL, NULL, NULL, N'AL-F6-A8-503')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (4784, 48, N'504', N'Available', NULL, NULL, NULL, N'AL-F6-A8-504')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (4785, 48, N'505', N'Available', NULL, NULL, NULL, N'AL-F6-A8-505')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (4786, 48, N'506', N'Available', NULL, NULL, NULL, N'AL-F6-A8-506')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (4787, 48, N'507', N'Available', NULL, NULL, NULL, N'AL-F6-A8-507')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (4788, 48, N'508', N'Available', NULL, NULL, NULL, N'AL-F6-A8-508')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (4789, 48, N'509', N'Available', NULL, NULL, NULL, N'AL-F6-A8-509')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (4790, 48, N'510', N'Available', NULL, NULL, NULL, N'AL-F6-A8-510')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (4791, 48, N'511', N'Available', NULL, NULL, NULL, N'AL-F6-A8-511')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (4792, 48, N'512', N'Available', NULL, NULL, NULL, N'AL-F6-A8-512')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (4793, 48, N'513', N'Available', NULL, NULL, NULL, N'AL-F6-A8-513')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (4794, 48, N'514', N'Available', NULL, NULL, NULL, N'AL-F6-A8-514')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (4795, 48, N'515', N'Available', NULL, NULL, NULL, N'AL-F6-A8-515')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (4796, 48, N'516', N'Available', NULL, NULL, NULL, N'AL-F6-A8-516')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (4797, 48, N'517', N'Available', NULL, NULL, NULL, N'AL-F6-A8-517')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (4798, 48, N'518', N'Available', NULL, NULL, NULL, N'AL-F6-A8-518')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (4799, 48, N'519', N'Available', NULL, NULL, NULL, N'AL-F6-A8-519')
GO
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (4800, 48, N'520', N'Available', NULL, NULL, NULL, N'AL-F6-A8-520')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (4801, 49, N'101', N'Available', NULL, NULL, NULL, N'AL-F7-A1-101')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (4802, 49, N'102', N'Available', NULL, NULL, NULL, N'AL-F7-A1-102')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (4803, 49, N'103', N'Available', NULL, NULL, NULL, N'AL-F7-A1-103')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (4804, 49, N'104', N'Available', NULL, NULL, NULL, N'AL-F7-A1-104')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (4805, 49, N'105', N'Available', NULL, NULL, NULL, N'AL-F7-A1-105')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (4806, 49, N'106', N'Available', NULL, NULL, NULL, N'AL-F7-A1-106')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (4807, 49, N'107', N'Available', NULL, NULL, NULL, N'AL-F7-A1-107')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (4808, 49, N'108', N'Available', NULL, NULL, NULL, N'AL-F7-A1-108')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (4809, 49, N'109', N'Available', NULL, NULL, NULL, N'AL-F7-A1-109')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (4810, 49, N'110', N'Available', NULL, NULL, NULL, N'AL-F7-A1-110')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (4811, 49, N'111', N'Available', NULL, NULL, NULL, N'AL-F7-A1-111')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (4812, 49, N'112', N'Available', NULL, NULL, NULL, N'AL-F7-A1-112')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (4813, 49, N'113', N'Available', NULL, NULL, NULL, N'AL-F7-A1-113')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (4814, 49, N'114', N'Available', NULL, NULL, NULL, N'AL-F7-A1-114')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (4815, 49, N'115', N'Available', NULL, NULL, NULL, N'AL-F7-A1-115')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (4816, 49, N'116', N'Available', NULL, NULL, NULL, N'AL-F7-A1-116')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (4817, 49, N'117', N'Available', NULL, NULL, NULL, N'AL-F7-A1-117')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (4818, 49, N'118', N'Available', NULL, NULL, NULL, N'AL-F7-A1-118')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (4819, 49, N'119', N'Available', NULL, NULL, NULL, N'AL-F7-A1-119')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (4820, 49, N'120', N'Available', NULL, NULL, NULL, N'AL-F7-A1-120')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (4821, 49, N'201', N'Available', NULL, NULL, NULL, N'AL-F7-A1-201')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (4822, 49, N'202', N'Available', NULL, NULL, NULL, N'AL-F7-A1-202')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (4823, 49, N'203', N'Available', NULL, NULL, NULL, N'AL-F7-A1-203')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (4824, 49, N'204', N'Available', NULL, NULL, NULL, N'AL-F7-A1-204')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (4825, 49, N'205', N'Available', NULL, NULL, NULL, N'AL-F7-A1-205')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (4826, 49, N'206', N'Available', NULL, NULL, NULL, N'AL-F7-A1-206')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (4827, 49, N'207', N'Available', NULL, NULL, NULL, N'AL-F7-A1-207')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (4828, 49, N'208', N'Available', NULL, NULL, NULL, N'AL-F7-A1-208')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (4829, 49, N'209', N'Available', NULL, NULL, NULL, N'AL-F7-A1-209')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (4830, 49, N'210', N'Available', NULL, NULL, NULL, N'AL-F7-A1-210')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (4831, 49, N'211', N'Available', NULL, NULL, NULL, N'AL-F7-A1-211')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (4832, 49, N'212', N'Available', NULL, NULL, NULL, N'AL-F7-A1-212')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (4833, 49, N'213', N'Available', NULL, NULL, NULL, N'AL-F7-A1-213')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (4834, 49, N'214', N'Available', NULL, NULL, NULL, N'AL-F7-A1-214')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (4835, 49, N'215', N'Available', NULL, NULL, NULL, N'AL-F7-A1-215')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (4836, 49, N'216', N'Available', NULL, NULL, NULL, N'AL-F7-A1-216')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (4837, 49, N'217', N'Available', NULL, NULL, NULL, N'AL-F7-A1-217')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (4838, 49, N'218', N'Available', NULL, NULL, NULL, N'AL-F7-A1-218')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (4839, 49, N'219', N'Available', NULL, NULL, NULL, N'AL-F7-A1-219')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (4840, 49, N'220', N'Available', NULL, NULL, NULL, N'AL-F7-A1-220')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (4841, 49, N'301', N'Available', NULL, NULL, NULL, N'AL-F7-A1-301')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (4842, 49, N'302', N'Available', NULL, NULL, NULL, N'AL-F7-A1-302')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (4843, 49, N'303', N'Available', NULL, NULL, NULL, N'AL-F7-A1-303')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (4844, 49, N'304', N'Available', NULL, NULL, NULL, N'AL-F7-A1-304')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (4845, 49, N'305', N'Available', NULL, NULL, NULL, N'AL-F7-A1-305')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (4846, 49, N'306', N'Available', NULL, NULL, NULL, N'AL-F7-A1-306')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (4847, 49, N'307', N'Available', NULL, NULL, NULL, N'AL-F7-A1-307')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (4848, 49, N'308', N'Available', NULL, NULL, NULL, N'AL-F7-A1-308')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (4849, 49, N'309', N'Available', NULL, NULL, NULL, N'AL-F7-A1-309')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (4850, 49, N'310', N'Available', NULL, NULL, NULL, N'AL-F7-A1-310')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (4851, 49, N'311', N'Available', NULL, NULL, NULL, N'AL-F7-A1-311')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (4852, 49, N'312', N'Available', NULL, NULL, NULL, N'AL-F7-A1-312')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (4853, 49, N'313', N'Available', NULL, NULL, NULL, N'AL-F7-A1-313')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (4854, 49, N'314', N'Available', NULL, NULL, NULL, N'AL-F7-A1-314')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (4855, 49, N'315', N'Available', NULL, NULL, NULL, N'AL-F7-A1-315')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (4856, 49, N'316', N'Available', NULL, NULL, NULL, N'AL-F7-A1-316')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (4857, 49, N'317', N'Available', NULL, NULL, NULL, N'AL-F7-A1-317')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (4858, 49, N'318', N'Available', NULL, NULL, NULL, N'AL-F7-A1-318')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (4859, 49, N'319', N'Available', NULL, NULL, NULL, N'AL-F7-A1-319')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (4860, 49, N'320', N'Available', NULL, NULL, NULL, N'AL-F7-A1-320')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (4861, 49, N'401', N'Available', NULL, NULL, NULL, N'AL-F7-A1-401')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (4862, 49, N'402', N'Available', NULL, NULL, NULL, N'AL-F7-A1-402')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (4863, 49, N'403', N'Available', NULL, NULL, NULL, N'AL-F7-A1-403')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (4864, 49, N'404', N'Available', NULL, NULL, NULL, N'AL-F7-A1-404')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (4865, 49, N'405', N'Available', NULL, NULL, NULL, N'AL-F7-A1-405')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (4866, 49, N'406', N'Available', NULL, NULL, NULL, N'AL-F7-A1-406')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (4867, 49, N'407', N'Available', NULL, NULL, NULL, N'AL-F7-A1-407')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (4868, 49, N'408', N'Available', NULL, NULL, NULL, N'AL-F7-A1-408')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (4869, 49, N'409', N'Available', NULL, NULL, NULL, N'AL-F7-A1-409')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (4870, 49, N'410', N'Available', NULL, NULL, NULL, N'AL-F7-A1-410')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (4871, 49, N'411', N'Available', NULL, NULL, NULL, N'AL-F7-A1-411')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (4872, 49, N'412', N'Available', NULL, NULL, NULL, N'AL-F7-A1-412')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (4873, 49, N'413', N'Available', NULL, NULL, NULL, N'AL-F7-A1-413')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (4874, 49, N'414', N'Available', NULL, NULL, NULL, N'AL-F7-A1-414')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (4875, 49, N'415', N'Available', NULL, NULL, NULL, N'AL-F7-A1-415')
INSERT [dbo].[Niche] ([NicheID], [AreaID], [NicheName], [Status], [NicheDescription], [CustomerID], [DeceasedID], [NicheCode]) VALUES (4876, 49, N'416', N'Available', NULL, NULL, NULL, N'AL-F7-A1-416')
